SubjectNr	SignalCode	SignalDescr	Count
25	Ms-2	Horizontal Curtain Smiles	0
26	Ms-2	Horizontal Curtain Smiles	7
27	Ms-2	Horizontal Curtain Smiles	4
28	Ms-2	Horizontal Curtain Smiles	7
29	Ms-2	Horizontal Curtain Smiles	7
30	Ms-2	Horizontal Curtain Smiles	0
31	Ms-2	Horizontal Curtain Smiles	7
32	Ms-2	Horizontal Curtain Smiles	7
1	Ms-3	Two Point Pulling	4
2	Ms-3	Two Point Pulling	0
3	Ms-3	Two Point Pulling	0
4	Ms-3	Two Point Pulling	4
5	Ms-3	Two Point Pulling	2
6	Ms-3	Two Point Pulling	7
7	Ms-3	Two Point Pulling	0
8	Ms-3	Two Point Pulling	7
9	Ms-3	Two Point Pulling	0
10	Ms-3	Two Point Pulling	0
11	Ms-3	Two Point Pulling	4
12	Ms-3	Two Point Pulling	4
13	Ms-3	Two Point Pulling	4
14	Ms-3	Two Point Pulling	2
15	Ms-3	Two Point Pulling	4
16	Ms-3	Two Point Pulling	7
17	Ms-3	Two Point Pulling	0
18	Ms-3	Two Point Pulling	0
19	Ms-3	Two Point Pulling	0
20	Ms-3	Two Point Pulling	7
21	Ms-3	Two Point Pulling	7
22	Ms-3	Two Point Pulling	7
23	Ms-3	Two Point Pulling	4
24	Ms-3	Two Point Pulling	0
25	Ms-3	Two Point Pulling	0
26	Ms-3	Two Point Pulling	7
27	Ms-3	Two Point Pulling	4
28	Ms-3	Two Point Pulling	4
29	Ms-3	Two Point Pulling	7
30	Ms-3	Two Point Pulling	0
31	Ms-3	Two Point Pulling	7
32	Ms-3	Two Point Pulling	7
1	Ms-4	Symmetrical Lips	4
2	Ms-4	Symmetrical Lips	2
3	Ms-4	Symmetrical Lips	4
4	Ms-4	Symmetrical Lips	4
5	Ms-4	Symmetrical Lips	2
6	Ms-4	Symmetrical Lips	7
7	Ms-4	Symmetrical Lips	2
8	Ms-4	Symmetrical Lips	7
9	Ms-4	Symmetrical Lips	0
10	Ms-4	Symmetrical Lips	0
11	Ms-4	Symmetrical Lips	4
